timestamp,age,gender,country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
27-08-2014 11:29,37,female,'United States',IL,Prefer not to say,No,Yes,Often,Jun-25,No,Yes,Yes,'Not sure',No,Yes,Yes,'Somewhat easy',No,No,'Some of them',Yes,No,Maybe,Yes,No
27-08-2014 11:29,44,male,'United States',IN,Prefer not to say,No,No,Rarely,'More than 1000',No,No,'Don\'t know',No,'Don\'t know','Don\'t know','Don\'t know','Don\'t know',Maybe,No,No,No,No,No,'Don\'t know',No
27-08-2014 11:29,32,male,Canada,Prefer not to say,Prefer not to say,No,No,Rarely,Jun-25,No,Yes,No,No,No,No,'Don\'t know','Somewhat difficult',No,No,Yes,Yes,Yes,Yes,No,No
27-08-2014 11:29,31,male,'United Kingdom',Prefer not to say,Prefer not to say,Yes,Yes,Often,26-100,No,Yes,No,Yes,No,No,No,'Somewhat difficult',Yes,Yes,'Some of them',No,Maybe,Maybe,No,Yes
27-08-2014 11:30,31,male,'United States',TX,Prefer not to say,No,No,Never,100-500,Yes,Yes,Yes,No,'Don\'t know','Don\'t know','Don\'t know','Don\'t know',No,No,'Some of them',Yes,Yes,Yes,'Don\'t know',No
27-08-2014 11:31,33,male,'United States',TN,Prefer not to say,Yes,No,Sometimes,Jun-25,No,Yes,Yes,'Not sure',No,'Don\'t know','Don\'t know','Don\'t know',No,No,Yes,Yes,No,Maybe,'Don\'t know',No
27-08-2014 11:31,35,female,'United States',MI,Prefer not to say,Yes,Yes,Sometimes,01-May,Yes,Yes,No,No,No,No,No,'Somewhat difficult',Maybe,Maybe,'Some of them',No,No,No,'Don\'t know',No
27-08-2014 11:32,39,male,Canada,Prefer not to say,Prefer not to say,No,No,Never,01-May,Yes,Yes,No,Yes,No,No,Yes,'Don\'t know',No,No,No,No,No,No,No,No
27-08-2014 11:32,42,female,'United States',IL,Prefer not to say,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,'Very difficult',Maybe,No,Yes,Yes,No,Maybe,No,No
27-08-2014 11:32,23,male,Canada,Prefer not to say,Prefer not to say,No,No,Never,26-100,No,Yes,'Don\'t know',No,'Don\'t know','Don\'t know','Don\'t know','Don\'t know',No,No,Yes,Yes,Maybe,Maybe,Yes,No
27-08-2014 11:32,31,male,'United States',OH,Prefer not to say,No,Yes,Sometimes,Jun-25,Yes,Yes,'Don\'t know',No,No,No,'Don\'t know','Don\'t know',No,No,'Some of them',Yes,No,No,'Don\'t know',No
27-08-2014 11:32,29,male,Bulgaria,Prefer not to say,Prefer not to say,No,No,Never,100-500,Yes,Yes,'Don\'t know','Not sure',No,No,'Don\'t know','Don\'t know',No,No,Yes,Yes,Yes,Yes,'Don\'t know',No
27-08-2014 11:33,42,female,'United States',CA,Prefer not to say,Yes,Yes,Sometimes,26-100,No,No,Yes,Yes,No,No,'Don\'t know','Somewhat difficult',Yes,Yes,Yes,Yes,Maybe,Maybe,No,Yes
27-08-2014 11:33,36,male,'United States',CT,Prefer not to say,Yes,No,Never,500-1000,No,Yes,'Don\'t know','Not sure',No,'Don\'t know','Don\'t know','Don\'t know',No,No,Yes,Yes,No,No,'Don\'t know',No
27-08-2014 11:33,27,male,Canada,Prefer not to say,Prefer not to say,No,No,Never,Jun-25,No,Yes,'Don\'t know','Not sure','Don\'t know','Don\'t know','Don\'t know','Somewhat easy',No,No,'Some of them','Some of them',Maybe,Yes,Yes,No
27-08-2014 11:34,29,female,'United States',IL,Prefer not to say,Yes,Yes,Rarely,26-100,No,Yes,Yes,'Not sure',No,No,'Don\'t know','Somewhat easy',No,No,Yes,'Some of them',Maybe,Maybe,'Don\'t know',No
27-08-2014 11:34,23,male,'United Kingdom',Prefer not to say,Prefer not to say,No,Yes,Sometimes,26-100,Yes,Yes,'Don\'t know',No,'Don\'t know','Don\'t know','Don\'t know','Very easy',Maybe,No,'Some of them',No,Maybe,Maybe,No,No
27-08-2014 11:34,32,male,'United States',TN,Prefer not to say,No,Yes,Sometimes,Jun-25,No,Yes,Yes,Yes,No,'Don\'t know','Don\'t know','Don\'t know',Maybe,No,'Some of them',Yes,No,No,No,No
27-08-2014 11:34,46,male,'United States',MD,Yes,Yes,No,Sometimes,01-May,Yes,Yes,Yes,'Not sure',Yes,'Don\'t know',Yes,'Very easy',No,No,Yes,Yes,No,Yes,Yes,Yes
