SiteId,UnitId,ReadDate,Salinity in ppt,Dissolved Oxygen milligram per lit,pH ,Secchi Depth meters,Water Depth meters,Water Temp Celsius,Air Temp Celsius,Air Temp Fahrenheit,Time 24 clcok,Field Technician,DateVerified,WhoVerified
Bay,,01-03-1994,1.3,11.7,7.3,0.4,0.4,5.9,8,46.4,11,,,
Bay,,1/31/1994,1.5,12,7.4,0.2,0.35,3,2.6,36.68,11.3,,,
Bay,,02-07-1994,1,10.5,7.2,0.25,0.6,5.9,7.6,45.68,9.45,,,
Bay,,2/23/1994,1,10.1,7.4,0.35,0.5,10,2.7,36.86,N/A,,,
Bay,,2/28/1994,1,12.6,7.2,0.2,0.4,1.6,0,32,10.3,,,
Bay,,03-07-1994,1,9.9,7.1,0.2,0.9,9.7,15.2,59.36,10,,,
Bay,,3/14/1994,0.5,10.4,7.2,0.25,0.75,9.8,10.1,50.18,11,,,
Bay,,3/28/1994,1,9.2,7.1,0.15,0.95,16.1,22.1,71.78,9.5,,,
Bay,,04-04-1994,1,9.2,7.2,0.25,0.75,15,13.5,56.3,10,,,
Bay,,04-11-1994,1,8.6,7.3,0.2,0.75,15.7,13,55.4,10,,,
Bay,,4/18/1994,1,8.8,7.6,0.2,0.7,17.5,16.6,61.88,10.3,,,
Bay,,4/25/1994,1,10,7.9,0.2,0.5,19.3,22.1,71.78,11,,,
Bay,,05-02-1994,1.3,9.8,7.5,0.2,0.65,16.1,13,55.4,10.3,,,
Bay,,05-09-1994,1,10.1,7.9,0.25,0.75,18.8,19.5,67.1,10.45,,,
Bay,,5/16/1994,1,8.2,7.8,0.25,0.8,22.1,22.3,72.14,10,,,
Bay,,5/23/1994,1,10.8,9.1,0.05,0.05,21.7,24.3,75.74,11,,,
Bay,,5/30/1994,1,8.7,8.5,0.35,0.8,22.3,22.7,72.86,N/A,,,
Bay,,06-06-1994,1,9.4,8.6,0.35,0.8,23.8,25.7,78.26,11,,,
Bay,,6/13/1994,1.2,10.4,9,0.35,0.8,27.9,26.9,80.42,10.45,,,
Bay,,6/20/1994,1.5,9.8,9,0.35,0.7,29.5,30.5,86.9,10.15,,,
Bay,,6/27/1994,1.5,7.3,8.1,0.25,1.2,25.5,27.9,82.22,10.15,,,
Bay,,07-03-1994,2,10.7,9,0.4,0.9,28.5,28,82.4,10.4,,,
Bay,,6/25/1994,2,11,9.4,0.5,0.9,30.5,28.5,83.3,10.3,,,
Bay,,08-01-1994,2,10.7,9.2,0.45,0.75,29,25.5,77.9,N/A,,,
Bay,,08-08-1994,2,10.2,9.2,0.4,0.55,22,21.5,70.7,10.3,,,
Bay,,8/15/1994,2.3,6.9,8.8,0.45,0.9,24.5,20,68,10.3,,,
Bay,,8/22/1994,2,9.1,9.1,0.45,0.9,27,24.5,76.1,10.3,,,
Bay,,8/29/1994,2.3,9.8,9.3,0.45,0.75,27,27,80.6,10.45,,,
Bay,,09-05-1994,2.5,8.6,8.5,0.2,1.2,17,17,62.6,10,,,
Bay,,09-12-1994,2.5,7.9,8.4,0.35,0.6,21,19,66.2,10.3,,,
Bay,,9/19/1994,2.5,8.2,8.1,0.45,0.6,20.5,21.5,70.7,10.3,,,
Bay,,9/26/1994,2.25,6.9,8.1,0.45,0.8,23,23,73.4,10.15,,,
Bay,,10-10-1994,2.5,8.4,8.1,0.45,0.5,17,17,62.6,10.3,,,
Bay,,10/24/1994,2.5,7.4,7.6,0.35,0.85,18,19,66.2,10.2,,,
Bay,,11-07-1994,2.5,9,7.3,0.2,0.5,15,15,59,10,,,
Bay,,11/28/1994,2.8,9.4,7.7,0.25,0.65,13,17.5,63.5,10.3,,,
Bay,,12-12-1994,2.5,11.4,6.9,0.35,0.4,5,5,41,11,,,
Bay,,12/29/1994,3,10.4,6.9,0.15,0.4,8,9.5,49.1,11,,,
Bay,,05-11-1989,,,7.5,0.3,0.9,17,,,0,John Phillips,,
Bay,,5/18/1989,,12,7.5,0.2,0.6,17.5,,68.9,21.36,John Phillips,,
Bay,,5/25/1989,,,8,0.4,0.8,23,,77,0,John Phillips,,
Bay,,06-01-1989,,12,8,0.4,0.9,25.5,,84.2,4.48,John Phillips,,
Bay,,07-11-1989,,,8.5,0.3,0.9,28.5,,82.4,9.36,John Phillips,,
Bay,,7/20/1989,,1.6,9,0.3,0.9,30,,90.5,12,John Phillips,,
Bay,,7/27/1989,,6.2,9,0.3,0.8,27,,80.6,14.24,John Phillips,,
Bay,,08-03-1989,,5.8,9.5,0.2,0.7,25,,82.4,9.36,John Phillips,,
Bay,,08-10-1989,,3.2,9,0.2,0.3,21.5,,72.5,12,John Phillips,,
Bay,,8/17/1989,,7.3,9,0.2,0.8,28,,84.2,4.48,John Phillips,,
Bay,,8/31/1989,,7.1,9,0.2,0.8,28,,82.4,9.36,John Phillips,,
Bay,,9/14/1989,,6,7.5,0.3,0.9,26,,78.8,19.12,John Phillips,,
Bay,,10/25/1989,,7.8,8.5,0.2,0.5,15,,66.2,4.48,John Phillips,,
Bay,,10/31/1989,,,7.5,0.2,0.7,21.5,,71.6,14.24,John Phillips,,
Bay,,11/20/1989,,,8,0.2,1,8.5,,57.2,4.48,John Phillips,,
Bay,,11/27/1989,,10.3,7.5,0.2,0.6,9,,39.2,4.48,John Phillips,,
Bay,,12-11-1989,,10.2,7,0.2,0.4,3,,37.4,9.36,John Phillips,,
Bay,,01-03-1990,,11.9,7.5,0.2,0.6,3,,41,0,"J Phillips, Mary Feldman",,
Bay,,01-08-1990,,10.8,7.5,0.2,0.4,7,,45.5,12,"J Phillips, Mary Feldman",,
Bay,,1/22/1990,1,9.7,7.5,0.15,0.65,10,,53.6,14.24,"J Phillips, Mary Feldman",,
Bay,,1/30/1990,,10.8,7.5,0.2,0.7,9,,55.4,9.36,"J Phillips, Mary Feldman",,
Bay,,02-07-1990,3.4,10.8,7.5,0.2,0.6,10,,50,0,"J Phillips, Mary Feldman",,
Bay,,02-12-1990,3.2,10.6,7,0.2,0.7,10,,48.2,4.48,"J Phillips, Mary Feldman",,
Bay,,2/20/1990,4.2,11.6,7.5,0.15,0.39,5,,41,0,"J Phillips, Mary Feldman",,
Bay,,2/27/1990,2.8,13.8,7,0.5,1.5,2.5,,33.8,19.12,"J Phillips, Mary Feldman",,
Bay,,03-05-1990,2.9,11.6,7,0.2,0.4,7,,47.3,7.12,"J Phillips, Mary Feldman",,
Bay,,03-12-1990,2.9,9,7,0.15,0.69,17,,69.8,19.12,"J Phillips, Mary Feldman",,
Bay,,3/19/1990,2.8,7.8,7,0.22,0.92,15,,57.2,4.48,"J Phillips, Mary Feldman",,
Bay,,3/26/1990,3,10.8,7,0.25,0.4,9.5,,48.2,4.48,"J Phillips, Mary Feldman",,
